Date,Close,PE(TTM),PB(MRQ),PS(TTM)
2006/1/1,2.214859804,45.38321304,8.114999703,4.349048007
2006/1/2,2.214859804,45.38321304,8.114999703,4.349048007
2006/1/3,2.302973575,47.188694,8.437838751,4.522066191
2006/1/4,2.309751558,47.32757568,8.462672524,4.535375283
2006/1/5,2.291574241,46.95511627,8.39607286,4.49968272
2006/1/6,2.350727542,48.16718674,8.612803969,4.615834788
2006/1/7,2.350727542,48.16718674,8.612803969,4.615834788
2006/1/8,2.350727542,48.16718674,8.612803969,4.615834788
2006/1/9,2.34302529,48.00936508,8.584583772,4.600710821
2006/1/10,2.491216633,51.04585648,9.127540353,4.89169595
2006/1/11,2.584876026,52.96496582,9.470697942,5.075603391
2006/1/12,2.59692235,53.21179962,9.51483433,5.099257276
2006/1/13,2.636943255,54.03184128,9.661466471,5.177841409
2006/1/14,2.636943255,54.03184128,9.661466471,5.177841409
2006/1/15,2.636943255,54.03184128,9.661466471,5.177841409
2006/1/16,2.636943255,54.03184128,9.661466471,5.177841409
2006/1/17,2.609831325,53.47631073,9.562131379,5.124605045
2006/1/18,2.541435321,52.07485199,9.311536034,4.990304216
2006/1/19,2.434990188,49.89375687,8.921532919,4.781290989
2006/1/20,2.344226841,48.03398514,8.588986123,4.60307016
2006/1/21,2.344226841,48.03398514,8.588986123,4.60307016
2006/1/22,2.344226841,48.03398514,8.588986123,4.60307016
2006/1/23,2.392935888,49.03205109,8.767450646,4.698714128
2006/1/24,2.3427172,48.00305176,8.583454965,4.600105862
2006/1/25,2.286028619,46.84148407,8.433838339,4.488793464
2006/1/26,2.228415769,45.66097641,8.221287427,4.375666189
2006/1/27,2.219173065,45.47159195,8.18718835,4.357517428
2006/1/28,2.219173065,45.47159195,8.18718835,4.357517428
2006/1/29,2.219173065,45.47159195,8.18718835,4.357517428
2006/1/30,2.310675828,47.34651566,8.52476921,4.537190159
2006/1/31,2.326388424,47.66846848,8.582737641,4.568043052
2006/2/1,2.323615613,47.61165619,8.572507918,4.562598424
2006/2/2,2.221329696,45.5157814,8.195144801,4.361752139
2006/2/3,2.213535016,45.67060089,8.166387913,4.376588339
2006/2/4,2.213535016,45.67060089,8.166387913,4.376588339
2006/2/5,2.213535016,45.67060089,8.166387913,4.376588339
2006/2/6,2.073446443,42.78023529,7.649559571,4.099606041
2006/2/7,2.082689146,42.97093201,7.683658648,4.11788066
2006/2/8,2.11996805,43.7400856,7.821191592,4.191588287
2006/2/9,2.001045267,41.28642273,7.382450136,3.956454864
2006/2/10,2.073754533,42.78659058,7.650696207,4.100215195
2006/2/11,2.073754533,42.78659058,7.650696207,4.100215195
2006/2/12,2.073754533,42.78659058,7.650696207,4.100215195
2006/2/13,1.993651104,41.13386154,7.355170875,3.94183517
2006/2/14,2.084075552,42.99953842,7.68877351,4.120621852
2006/2/15,2.132599744,44.00070953,7.867793663,4.216563598
2006/2/16,2.174191909,44.8588562,8.021239509,4.298799381
2006/2/17,2.165565386,44.68087006,7.989413704,4.28174307
2006/2/18,2.165565386,44.68087006,7.989413704,4.28174307
2006/2/19,2.165565386,44.68087006,7.989413704,4.28174307
2006/2/20,2.165565386,44.68087006,7.989413704,4.28174307
2006/2/21,2.128286483,43.91171646,7.851880761,4.208035443
2006/2/22,2.197298667,45.33560562,8.106487201,4.344485927
2006/2/23,2.210546542,45.60894012,8.155362545,4.370679546
2006/2/24,2.201611929,45.42459869,8.122400104,4.353014082
2006/2/25,2.201611929,45.42459869,8.122400104,4.353014082
2006/2/26,2.201611929,45.42459869,8.122400104,4.353014082
2006/2/27,2.187131694,45.12583542,8.068978217,4.324383846
2006/2/28,2.110109166,43.5366745,7.784819243,4.172095361
2006/3/1,2.128902663,43.92443085,7.854154033,4.209253751
2006/3/2,2.144615259,44.24861908,7.912122463,4.240320602
2006/3/3,2.086386228,43.04721451,7.697298279,4.125190507
2006/3/4,2.086386228,43.04721451,7.697298279,4.125190507
2006/3/5,2.086386228,43.04721451,7.697298279,4.125190507
2006/3/6,2.017374043,41.62332535,7.442691839,3.988740023
2006/3/7,2.042945522,42.15092468,7.537032618,4.039299801
2006/3/8,2.022919665,41.73774338,7.463151285,3.999704794
2006/3/9,1.969620076,40.63804245,7.266513275,3.894321162
2006/3/10,1.946821408,40.16765213,7.182402219,3.84924377
2006/3/11,1.946821408,40.16765213,7.182402219,3.84924377
