Date,Close,PE(TTM),PB(MRQ),PS(TTM)
2010/6/29,4.778,-32.12430573,-7.964222311,19.88382339
2010/6/30,4.766,-32.04362488,-7.944220078,19.83388519
2010/7/1,4.392,-29.52908325,-7.32081716,18.27746964
2010/7/2,3.84,-25.81777763,-6.400714457,15.98030186
2010/7/6,3.222,-21.66272926,-5.370599474,13.40847206
2010/7/7,3.16,-21.24587822,-5.267254605,13.15045643
2010/7/8,3.492,-23.4780407,-5.820649709,14.53208637
2010/7/9,3.48,-23.39735985,-5.800647476,14.48214817
2010/7/12,3.41,-22.92672348,-5.683967786,14.19084072
2010/7/13,3.628,-24.39241982,-6.047341679,15.09805584
2010/7/14,3.968,-26.67836952,-6.614071605,16.5129776
2010/7/15,3.978,-26.74560356,-6.630740132,16.55459404
2010/7/16,4.128,-27.75411034,-6.880768041,17.17882347
2010/7/19,4.382,-29.46184921,-7.304148633,18.2358551
2010/7/20,4.06,-27.29692078,-6.767422056,16.89583969
2010/7/21,4.044,-27.18934631,-6.740752412,16.82925415
2010/7/22,4.2,-28.23819351,-7.000781437,17.47845459
2010/7/23,4.258,-28.62814903,-7.097458895,17.71982384
2010/7/26,4.19,-28.17095947,-6.98411291,17.43684006
2010/7/27,4.11,-27.63308907,-6.850764692,17.10391617
2010/7/28,4.144,-27.8616848,-6.907437684,17.24540901
2010/7/29,4.07,-27.36415482,-6.784090583,16.93745422
2010/7/30,3.988,-26.8128376,-6.64740866,16.59620857
2010/8/2,4.184,-28.13061905,-6.980744021,17.41187096
2010/8/3,4.39,-29.51563644,-7.324442221,18.26914597
2010/8/4,4.252,-28.58780861,-7.094197796,17.69485474
2010/8/5,4.09,-27.49862289,-6.823910862,17.0206852
2010/8/6,3.918,-26.34220123,-6.53693955,16.30490112
2010/8/9,3.92,-26.35564804,-6.540276425,16.31322479
2010/8/10,3.806,-25.5891819,-6.350074509,15.83880901
2010/8/11,3.58,-24.06969833,-5.973007552,14.89830208
2010/8/12,3.52,-23.66629601,-5.87290128,14.64861012
2010/8/13,3.664,-17.62135696,-5.511697923,15.06574821
2010/8/16,3.756,-18.06381607,-5.650092085,15.44403744
2010/8/17,3.83,-18.41970444,-5.761409128,15.74831295
2010/8/18,3.754,-18.05419731,-5.647083516,15.43581295
2010/8/19,3.758,-18.07343483,-5.653100654,15.45226097
2010/8/20,3.82,-18.37161255,-5.746366285,15.70719433
2010/8/23,4.026,-19.3623333,-6.056248864,16.55423164
2010/8/24,3.84,-18.46779823,-5.776451972,15.78943062
2010/8/25,3.98,-19.14110374,-5.987051783,16.36508751
2010/8/26,3.95,-18.99682426,-5.941923252,16.24173164
2010/8/27,3.94,-18.94873047,-5.926880409,16.20061302
2010/8/30,3.974,-19.11224747,-5.978026077,16.34041595
2010/8/31,3.896,-18.73712158,-5.860691897,16.01969337
2010/9/1,4.09,-19.67012978,-6.152523064,16.81738853
2010/9/2,4.212,-20.25686646,-6.336045757,17.31903267
2010/9/3,4.21,-20.2472477,-6.333037188,17.31080818
2010/9/7,4.108,-19.7566967,-6.179600182,16.89140129
2010/9/8,4.18,-20.10296822,-6.287908657,17.18745422
2010/9/9,4.142,-19.9202137,-6.230745851,17.03120422
2010/9/10,4.034,-19.40080643,-6.068283139,16.58712578
2010/9/13,4.144,-19.92983246,-6.23375442,17.0394268
2010/9/14,4.224,-20.31457901,-6.354097169,17.36837387
2010/9/15,4.396,-21.14178276,-6.61283408,18.07560921
2010/9/16,4.188,-20.14144325,-6.299942932,17.22034836
2010/9/17,4.046,-19.45851898,-6.086334552,16.63646889
2010/9/20,4.211,-20.25205803,-6.334541472,17.31492043
2010/9/21,4.154,-19.97792625,-6.248797263,17.08054543
2010/9/22,3.974,-19.11224747,-5.978026077,16.34041595
2010/9/23,3.912,-18.81406975,-5.884760446,16.08548355
2010/9/24,4.02,-19.33347702,-6.047223158,16.52956009
